epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2273.11,0.55275,0.59054,0.86284,0.99692,1,0.995,0.77307,0.85533,0.74468,0.97394,0.0008516,0.0008516,0.0008516
60,2311.64,0.56498,0.61989,0.87572,0.9971,1,0.995,0.77355,0.83275,0.69649,0.96787,0.0008318,0.0008318,0.0008318
61,2350.4,0.53775,0.58182,0.86963,0.99691,1,0.995,0.78726,0.80934,0.67539,0.94184,0.000812,0.000812,0.000812
62,2388.97,0.52292,0.57163,0.86051,0.99672,1,0.995,0.80181,0.81286,0.66621,0.93484,0.0007922,0.0007922,0.0007922
63,2427.7,0.53339,0.57437,0.87373,0.99656,1,0.995,0.79208,0.81631,0.68596,0.93653,0.0007724,0.0007724,0.0007724
64,2466.1,0.57818,0.59433,0.87693,0.99701,1,0.995,0.7771,0.80225,0.67114,0.93676,0.0007526,0.0007526,0.0007526
65,2504.74,0.52825,0.55586,0.85806,0.99677,1,0.995,0.77535,0.79686,0.66011,0.93131,0.0007328,0.0007328,0.0007328
66,2543.43,0.50801,0.55893,0.85604,0.99622,1,0.995,0.79915,0.78826,0.65174,0.92742,0.000713,0.000713,0.000713
67,2581.99,0.5274,0.53867,0.86416,0.99599,1,0.995,0.79629,0.81,0.64269,0.9351,0.0006932,0.0006932,0.0006932
68,2620.66,0.51996,0.55884,0.84949,0.99659,1,0.995,0.78972,0.78763,0.61198,0.9478,0.0006734,0.0006734,0.0006734
69,2658.98,0.48405,0.53206,0.87451,0.99669,1,0.995,0.80761,0.77837,0.59776,0.94545,0.0006536,0.0006536,0.0006536
70,2697.74,0.49777,0.52639,0.84948,0.99682,1,0.995,0.81616,0.76255,0.59514,0.93338,0.0006338,0.0006338,0.0006338
71,2736.09,0.53799,0.53613,0.84976,0.99714,1,0.995,0.7901,0.7993,0.60549,0.94602,0.000614,0.000614,0.000614
72,2774.54,0.52758,0.55354,0.86999,0.99713,1,0.995,0.77878,0.81307,0.61047,0.96461,0.0005942,0.0005942,0.0005942
73,2812.9,0.53966,0.5392,0.85177,0.99648,1,0.995,0.79235,0.78945,0.62526,0.95506,0.0005744,0.0005744,0.0005744
74,2851.25,0.50263,0.50651,0.85617,0.99523,1,0.995,0.80185,0.78211,0.62265,0.95256,0.0005546,0.0005546,0.0005546
75,2889.83,0.50234,0.51517,0.85313,0.99402,1,0.995,0.80346,0.77707,0.60249,0.94797,0.0005348,0.0005348,0.0005348
76,2928.4,0.49872,0.49913,0.86908,0.99451,1,0.995,0.76594,0.82555,0.61205,0.96819,0.000515,0.000515,0.000515
77,2967.54,0.4839,0.52076,0.85557,0.99426,1,0.995,0.78681,0.82206,0.59725,0.96912,0.0004952,0.0004952,0.0004952
78,3005.91,0.45683,0.47597,0.8393,0.99439,1,0.995,0.79307,0.78448,0.58744,0.95171,0.0004754,0.0004754,0.0004754
79,3044.93,0.45958,0.50546,0.83459,0.99456,1,0.995,0.80544,0.74188,0.58372,0.9406,0.0004556,0.0004556,0.0004556
80,3083.82,0.41207,0.46926,0.83597,0.9959,1,0.995,0.81701,0.77222,0.58201,0.94896,0.0004358,0.0004358,0.0004358
81,3122.61,0.45179,0.4759,0.84105,0.99629,1,0.995,0.80912,0.79366,0.56611,0.95751,0.000416,0.000416,0.000416
82,3161.08,0.55788,0.53768,0.87573,0.99642,1,0.995,0.78873,0.83623,0.55946,0.97245,0.0003962,0.0003962,0.0003962
83,3199.55,0.48721,0.5109,0.85052,0.99632,1,0.995,0.77201,0.84327,0.55867,0.97261,0.0003764,0.0003764,0.0003764
84,3237.94,0.45243,0.48141,0.81673,0.99578,1,0.995,0.79143,0.80208,0.56813,0.95934,0.0003566,0.0003566,0.0003566
85,3276.36,0.43979,0.48101,0.85002,0.99516,1,0.995,0.80456,0.7762,0.56706,0.94805,0.0003368,0.0003368,0.0003368
86,3314.45,0.45582,0.478,0.80866,0.99476,1,0.995,0.80678,0.77053,0.56887,0.94449,0.000317,0.000317,0.000317
87,3352.8,0.45384,0.47784,0.85406,0.99457,1,0.995,0.80222,0.77835,0.56288,0.94611,0.0002972,0.0002972,0.0002972
88,3391.12,0.44771,0.48666,0.84694,0.99359,1,0.995,0.79284,0.81236,0.55978,0.96089,0.0002774,0.0002774,0.0002774
89,3429.57,0.40754,0.457,0.83181,0.99341,1,0.995,0.78542,0.82334,0.56352,0.96484,0.0002576,0.0002576,0.0002576
90,3466.24,0.43647,0.44992,0.8303,0.99296,1,0.995,0.77945,0.82026,0.56244,0.96252,0.0002378,0.0002378,0.0002378
91,3505.06,0.39748,0.5402,0.83078,0.9922,1,0.995,0.77971,0.80165,0.56284,0.9574,0.000218,0.000218,0.000218
92,3543.46,0.38777,0.5232,0.80562,0.99078,1,0.995,0.78029,0.79414,0.57528,0.95566,0.0001982,0.0001982,0.0001982
93,3581.67,0.35909,0.50468,0.7912,0.99151,1,0.995,0.77669,0.80136,0.57207,0.96218,0.0001784,0.0001784,0.0001784
94,3619.74,0.3826,0.50874,0.80049,0.99306,1,0.995,0.77791,0.80583,0.56815,0.96551,0.0001586,0.0001586,0.0001586
95,3657.75,0.40333,0.53568,0.83567,0.99439,1,0.995,0.77402,0.80414,0.56007,0.96392,0.0001388,0.0001388,0.0001388
96,3695.88,0.38655,0.50608,0.81316,0.99535,1,0.995,0.77779,0.789,0.54872,0.95508,0.000119,0.000119,0.000119
97,3734.14,0.37968,0.50553,0.82845,0.99557,1,0.995,0.78637,0.78243,0.54352,0.95185,9.92e-05,9.92e-05,9.92e-05
98,3772.36,0.36717,0.51443,0.80745,0.99586,1,0.995,0.78581,0.77765,0.53961,0.95034,7.94e-05,7.94e-05,7.94e-05
99,3810.55,0.33135,0.47784,0.79412,0.99592,1,0.995,0.78398,0.77734,0.53631,0.95143,5.96e-05,5.96e-05,5.96e-05
100,3850.37,0.3504,0.48649,0.81812,0.99592,1,0.995,0.78448,0.78668,0.53146,0.95514,3.98e-05,3.98e-05,3.98e-05
