epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2564.12,0.56555,0.59269,0.85914,0.99159,0.95238,0.95517,0.78296,0.75054,0.7543,0.91283,0.0007328,0.0007328,0.0007328
66,2603.88,0.5505,0.56019,0.88139,0.95173,0.95238,0.95517,0.78743,0.72337,0.75315,0.90768,0.000713,0.000713,0.000713
67,2643.72,0.51282,0.52308,0.86424,0.94888,0.95238,0.95278,0.80008,0.66153,0.7251,0.8948,0.0006932,0.0006932,0.0006932
68,2683.61,0.52684,0.54268,0.86633,0.95225,0.94967,0.95277,0.83905,0.59886,0.69296,0.88594,0.0006734,0.0006734,0.0006734
69,2723.76,0.55738,0.56738,0.88149,0.95219,0.94855,0.95278,0.84426,0.6041,0.68569,0.8902,0.0006536,0.0006536,0.0006536
70,2763.56,0.58606,0.56847,0.85861,0.95221,0.94888,0.95282,0.84466,0.61182,0.68631,0.89619,0.0006338,0.0006338,0.0006338
71,2803.57,0.53654,0.57039,0.86243,0.95219,0.94866,0.94816,0.81624,0.63577,0.67693,0.90786,0.000614,0.000614,0.000614
72,2844.34,0.5156,0.50456,0.84411,0.94668,0.90476,0.94688,0.82348,0.71104,0.695,0.92879,0.0005942,0.0005942,0.0005942
73,2884.24,0.53855,0.52761,0.85895,0.9468,0.90476,0.94265,0.78243,0.74972,0.70776,0.93588,0.0005744,0.0005744,0.0005744
74,2923.89,0.53452,0.53216,0.84652,1,0.89081,0.93457,0.76167,0.77249,0.72631,0.94391,0.0005546,0.0005546,0.0005546
75,2963.48,0.49068,0.47297,0.84351,1,0.90041,0.93742,0.76183,0.77228,0.73419,0.95171,0.0005348,0.0005348,0.0005348
76,3003.27,0.48361,0.50228,0.84455,1,0.90147,0.94873,0.80616,0.69082,0.71948,0.93507,0.000515,0.000515,0.000515
77,3043.02,0.5751,0.53152,0.87769,0.99892,0.90476,0.94685,0.81221,0.66407,0.70799,0.92521,0.0004952,0.0004952,0.0004952
78,3082.86,0.47329,0.48524,0.83848,0.99675,0.90476,0.94365,0.80077,0.67278,0.70694,0.91926,0.0004754,0.0004754,0.0004754
